ID;Storey;From;From description;To;To Description;Class;Item code;Type;Cable type 2;Length/qty;Calculated length;Plan unit;Diameter;Weight;To parts list;To cable list;Electrotechnical calculations;System;Neutral wire;Protective wire;PEN wire;Space name;Storey description;Occurrences;Occurrence documents;Occurrence count;Dynamic customer ID;From location;From customer ID;To Customer ID;Replacing product;GUID
#_W1117;3korrus;-KK.A303;Ühenduskarp;-KK.A304;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;3154,198955;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;A303;3. korrus;TRUE;VMHT_TP_EAH-5-013_3k-aut.drw;1;#_W1117;;KK.A303;KK.A304;;3557e1cb-9068-4692-bda1-4c8a99352453
#_W1118;3korrus;-KK.A304;Ühenduskarp;-KK.A305;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;4759,213021;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;A304;3. korrus;TRUE;VMHT_TP_EAH-5-013_3k-aut.drw;1;#_W1118;;KK.A304;KK.A305;;fe92b905-5d3c-4e6d-a30c-6e206d344acd
#_W1119;3korrus;-KK.A305;Ühenduskarp;-KK.A307;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;4475,148213;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;A305;3. korrus;TRUE;VMHT_TP_EAH-5-013_3k-aut.drw;1;#_W1119;;KK.A305;KK.A307;;b6e20a48-91b0-4f4f-90d5-acb61c654429
#_W1122;3korrus;-KK.A306;Ühenduskarp;-KK.L.K3.4;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;1427,899033;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;A306;3. korrus;TRUE;VMHT_TP_EAH-5-013_3k-aut.drw;1;#_W1122;;KK.A306;KK.L.K3.4;;5337d80e-f3c4-4d37-8336-679902c12edc
#_W1120;3korrus;-KK.A307;Ühenduskarp;-KK.A308;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;3844,734677;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;A307;3. korrus;TRUE;VMHT_TP_EAH-5-013_3k-aut.drw;1;#_W1120;;KK.A307;KK.A308;;288c1df1-5293-4a6c-b89d-5482a0a87861
#_W1124;3korrus;-KK.A309;Ühenduskarp;-KK.A310;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;2835,144918;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;A309;3. korrus;TRUE;VMHT_TP_EAH-5-013_3k-aut.drw;1;#_W1124;;KK.A309;KK.A310;;e2b123c1-0f64-4a48-9670-188264a1b2e3
#_W1125;3korrus;-KK.A310;Ühenduskarp;-KK.A311;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;2230,121387;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;A310;3. korrus;TRUE;VMHT_TP_EAH-5-013_3k-aut.drw;1;#_W1125;;KK.A310;KK.A311;;0cecc4bf-f372-444e-a68c-384fc0d6eb9b
#_W1126;3korrus;-KK.A311;Ühenduskarp;-KK.A312.1;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;10619,78201;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;A311;3. korrus;TRUE;VMHT_TP_EAH-5-013_3k-aut.drw;1;#_W1126;;KK.A311;KK.A312.1;;31f9ebea-0a22-404b-86d1-678b26931bab
#_W1127;3korrus;-KK.A312.1;Ühenduskarp;-KK.A312.2;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;12038,35772;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;A312;3. korrus;TRUE;VMHT_TP_EAH-5-013_3k-aut.drw;1;#_W1127;;KK.A312.1;KK.A312.2;;226b851e-f5d3-4ec2-8d09-78ee15638cff
#_W1687;1korrus;-KK.B103;Ühenduskarp;-KK.B102;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;5475,409951;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;B103;1. korrus;TRUE;VMHT_TP_EAH-5-011_1k-aut.drw;1;#_W1687;;KK.B103;KK.B102;;9ee30917-1cd6-493e-a450-fe8206059d71
